Power station,# units,Net capacity under construction (MW),Construction start,Planned connection,Country,Location
Akkuyu,1,"1,014",2015,2023,Turkey,38°08′40″N 33°32′28″E﻿ / ﻿38.14444°N 33.54111°E
Barakah,4,"5,380",2012,2019,UAE,23°59′6″N 52°17′1″E﻿ / ﻿23.98500°N 52.28361°E
Belarusian,2,"2,218",2012,2019,Belarus,54°45′43″N 26°7′12″E﻿ / ﻿54.76194°N 26.12000°E
Hinkley Point C,1,"1,630",2018,2026,United Kingdom,51°12′22″N 3°8′38″W﻿ / ﻿51.20611°N 3.14389°W
Kakrapar,4,"1,664[note 47]",2010,2022,India,21°14′19″N 73°21′00″E﻿ / ﻿21.23861°N 73.35000°E
Karachi,3,"2,118[note 48]",2013,2021,Pakistan,24°50′49.8″N 66°47′17.7″E﻿ / ﻿24.847167°N 66.788250°E
Mochovce,4,"1,752[note 49]",1987,2019,Slovakia,48°15′50″N 18°27′25″E﻿ / ﻿48.26389°N 18.45694°E
Ōma,1,"1,325",2010,2023,Japan,41°30′35″N 140°54′37″E﻿ / ﻿41.50972°N 140.91028°E
Rooppur,2,"2,160",2017,2023,Bangladesh,24°4′0″N 89°2′50″E﻿ / ﻿24.06667°N 89.04722°E
Shimane[5],1,"1,373[note 50]",2007,?,Japan,35°32′18″N 132°59′57″E﻿ / ﻿35.53833°N 132.99917°E
